STATE/UT,DISTRICT,TOTAL IPC CRIMES,CRIME_RATE
BIHAR,GAYA,48235,0.03582801069306607
BIHAR,GOPALGANJ,31510,0.023405009162195747
BIHAR,JAMALPUR RLY.,2839,0.002108753443715447
BIHAR,JAMUI,18674,0.013870680453660533
BIHAR,JEHANABAD,17432,0.012948147245807562
BIHAR,KATIHAR,29828,0.02215565259568311
BIHAR,KATIHAR RLY.,5176,0.0038446311464146363
BIHAR,KHAGARIA,19335,0.014361658272010625
BIHAR,KISHANGANJ,13459,0.00999708087318288
BIHAR,LAKHISARAI,12557,0.009327092987930562
BIHAR,MADHEPURA,17472,0.012977858460231168
BIHAR,MADHUBANI,42083,0.03125842591471544
BIHAR,MOTIHARI,60939,0.04526429239400338
BIHAR,MUNGER,22716,0.016872998671165935
BIHAR,MUZAFFARPUR,69252,0.051439025531589334
BIHAR,MUZAFFARPUR RLY.,7113,0.005283396704877765
BIHAR,NALANDA,45663,0.0339175796056282
BIHAR,NAUGACHIA,13218,0.009818070806280653
BIHAR,NAWADAH,22684,0.01684922969962705
BIHAR,PATNA,147542,0.10959129996219248
BIHAR,PATNA RLY.,12653,0.009398399902547218
BIHAR,PURNEA,31399,0.023322560542170242
BIHAR,ROHTAS,41706,0.030978397718772956
BIHAR,SAHARSA,20316,0.015090325805749566
BIHAR,SAMASTIPUR,42318,0.03143297929945413
BIHAR,SARAN,47474,0.035262754838656964
BIHAR,SHEIKHPURA,10367,0.007700403998238125
BIHAR,SHEOHAR,5953,0.004421771486593186
BIHAR,SITAMARHI,35390,0.026286996961285544
BIHAR,SIWAN,30855,0.022918488026009196
BIHAR,SUPAUL,20702,0.015377039024937365
BIHAR,TOTAL,1346293,1.0
BIHAR,VAISHALI,49204,0.03654776486247793
CHANDIGARH,CHANDIGARH,40807,1.0
CHANDIGARH,TOTAL,40807,1.0
CHHATTISGARH,BALOD,1117,0.0019909915209071934
CHHATTISGARH,BALODA BAZAR,2371,0.004226178062731384
CHHATTISGARH,BALRAMPUR,7891,0.01406527671573739
CHHATTISGARH,BEMETARA,1323,0.0023581752749867652
CHHATTISGARH,BILASPUR,65040,0.11593024934628815
CHHATTISGARH,BIZAPUR,3933,0.007010357790266778
CHHATTISGARH,DANTEWARA,8092,0.014423548242776195
CHHATTISGARH,DHAMTARI,16040,0.028590424346778318
CHHATTISGARH,DURG,87167,0.15537041889249537
CHHATTISGARH,GARIYABAND,1518,0.0027057521295766516
CHHATTISGARH,GRP RAIPUR,4007,0.00714225875047012
CHHATTISGARH,JAGDALPUR,24443,0.043568313111490176
CHHATTISGARH,JANJGIR,31993,0.05702577594304731
CHHATTISGARH,JASHPUR,12327,0.021972204546305257
CHHATTISGARH,KABIRDHAM,13753,0.024513971698331808
CHHATTISGARH,KANKER,11795,0.02102394358916772
CHHATTISGARH,KAWARDHA,685,0.0012209751045849843
CHHATTISGARH,KONDAGAON,537,0.0009571731841783016
CHHATTISGARH,KORBA,28108,0.05010097553237188
CHHATTISGARH,KORIYA,18734,0.03339233227634321
CHHATTISGARH,MAHASAMUND,18975,0.03382190161970814
CHHATTISGARH,MUNGELI,1012,0.001803834753051101
CHHATTISGARH,NARAYANPUR,1610,0.0028697371071267513
CHHATTISGARH,RAIGARH,29582,0.05272830006398979
CHHATTISGARH,RAIPUR,98510,0.17558869715717781
CHHATTISGARH,RAJNANDGAON,32999,0.058818916023649484
CHHATTISGARH,SARGUJA,25863,0.04609938559106781
CHHATTISGARH,SUKMA,205,0.0003654013086714187
CHHATTISGARH,SURAJPUR,11397,0.020314530316722725
CHHATTISGARH,TOTAL,561027,1.0
D & N HAVELI,D and N HAVELI,4651,1.0
D & N HAVELI,TOTAL,4651,1.0
DAMAN & DIU,DAMAN,2398,0.8134328358208955
DAMAN & DIU,DIU,550,0.1865671641791045
DAMAN & DIU,TOTAL,2948,1.0
DELHI UT,CAW,796,0.0012571583798450347
DELHI UT,CENTRAL,38329,0.060534702941055694
DELHI UT,CRIME BRANCH,393,0.0006206824664310285
DELHI UT,DELHI UT TOTAL,633174,1.0
DELHI UT,EAST,68298,0.10786608420434193
DELHI UT,EOW,783,0.0012366268987671636
DELHI UT,G.R.P.(RLY),6641,0.010488428141395572
DELHI UT,GRP(RLY),6442,0.010174138546434314
DELHI UT,I.G.I. AIRPORT,2700,0.004264230685404012
DELHI UT,IGI AIRPORT,5151,0.008135204540931876
DELHI UT,NEW DELHI,23713,0.03745100083073531
DELHI UT,NORTH,38613,0.06098323683537227
DELHI UT,NORTH EAST,13427,0.021205861264044324
DELHI UT,NORTH WEST,37814,0.05972134042143234
DELHI UT,NORTH-EAST,41292,0.06521430128211203
DELHI UT,NORTH-WEST,50681,0.0800427686544299
DELHI UT,OUTER,33853,0.053465556071474823
DELHI UT,S.T.F.,158,0.0002495364623310496
DELHI UT,SOUTH,95628,0.15102957480882032
DELHI UT,SOUTH WEST,21314,0.03366215289951893
DELHI UT,SOUTH-EAST,31194,0.04926607851870102
DELHI UT,SOUTH-WEST,38093,0.06016197759225742
DELHI UT,SPL CELL,133,0.00021005284487360504
DELHI UT,STF,181,0.0002858613903918986
DELHI UT,WEST,77547,0.12247344331889812
GOA,NORTH GOA,18248,0.5693426102149699
GOA,SOUTH GOA,13803,0.4306573897850301
GOA,TOTAL,32051,1.0
GUJARAT,AHMEDABAD COMMR.,218005,0.15731630315166603
GUJARAT,AHMEDABAD RURAL,37699,0.02720427197777417
GUJARAT,AHWA-DANG,2237,0.0016142591690570258
GUJARAT,AMRELI,27751,0.020025617434287674
GUJARAT,ANAND,41373,0.029855496022081505
GUJARAT,BHARUCH,34364,0.024797676390467427
GUJARAT,BHAVNAGAR,65714,0.047420396529018055
GUJARAT,CID CRIME,54,3.896736483195324e-05
GUJARAT,DAHOD,20418,0.014733993613681875
GUJARAT,GANDHINAGAR,49069,0.0354090671285021
GUJARAT,HIMATNAGAR,56623,0.040860168497772006
GUJARAT,JAMNAGAR,53364,0.0385084158683769
GUJARAT,JUNAGADH,58705,0.042362576897403977
GUJARAT,KHEDA NORTH,53275,0.038444191878190904
GUJARAT,KUTCH,42700,0.030813082931933394
GUJARAT,KUTCH (EAST(G)),5656,0.004081470657213472
GUJARAT,KUTCH (WEST-BHUJ),3725,0.002688026555537515
GUJARAT,MEHSANA,57597,0.04156302430048168
GUJARAT,NARMADA,8518,0.006146740993306994
GUJARAT,NAVSARI,14631,0.010557991015857552
GUJARAT,PALANPUR,51920,0.03746639966805578
GUJARAT,PANCHMAHAL,37522,0.027076545615269433
GUJARAT,PATAN,31882,0.023006620843932096
GUJARAT,PORBANDAR,11988,0.008650754992693618
GUJARAT,RAJKOT COMMR.,52176,0.03765113384207393
GUJARAT,RAJKOT RURAL,51010,0.03680972740885064
GUJARAT,SURAT COMMR.,85040,0.061366383431653765
GUJARAT,SURAT RURAL,26600,0.019195035269073263
GUJARAT,SURENDRANAGAR,36446,0.026300084790099404
GUJARAT,TAPI,3440,0.002482365463368873
GUJARAT,TOTAL,1385775,1.0
GUJARAT,VADODARA COMMR.,67448,0.04867168191084411
GUJARAT,VADODARA RURAL,36234,0.026147101802240624
GUJARAT,VALSAD,27176,0.019610687160614097
GUJARAT,W.RLY,13502,0.009743284443722827
GUJARAT,W.RLY AHMEDABAD,669,0.0004827623531958651
GUJARAT,W.RLY VADODARA,1244,0.0008976926268694413
HARYANA,AMBALA,26471,0.04446643138032229
HARYANA,AMBALA RURAL,1082,0.001817561813059904
HARYANA,AMBALA URBAN,2342,0.003934131022353323
HARYANA,BHIWANI,29979,0.050359228829688414
HARYANA,FARIDABAD,63980,0.10747468096078804
HARYANA,FATEHABAD,16246,0.02729030426522292
HARYANA,GRP,12011,0.02017627997843115
HARYANA,GURGAON,64761,0.1087866179071834
HARYANA,HISSAR,38246,0.06424627458621912
HARYANA,JHAJJAR,19514,0.03277994567472363
HARYANA,JIND,20557,0.0345319946313054
HARYANA,KAITHAL,17689,0.029714279954913717
HARYANA,KARNAL,35540,0.05970069023673659
HARYANA,KURUKSHETRA,26498,0.044511786434807146
HARYANA,MAHENDRAGARH,18618,0.03127482979255942
HARYANA,MEWAT,13684,0.022986613539659636
HARYANA,PALWAL,14679,0.024658031288268326
HARYANA,PANCHKULA,15938,0.026772920680728972
HARYANA,PANIPAT,29195,0.049042252432794725
HARYANA,REWARI,23249,0.039054061545129116
HARYANA,ROHTAK,28707,0.04822250181840172
HARYANA,SIRSA,22404,0.03763461632143631
HARYANA,SONIPAT,32592,0.054748590213723095
HARYANA,TOTAL,595303,1.0
HARYANA,YAMUNANAGAR,21321,0.03581537469154363
HIMACHAL PRADESH,BADDIPOLICEDIST,1913,0.012346077393706276
HIMACHAL PRADESH,BILASPUR,13237,0.08542865993752743
HIMACHAL PRADESH,CHAMBA,7766,0.05012004027157498
HIMACHAL PRADESH,CID,14,9.035289258331827e-05
HIMACHAL PRADESH,G.R.P.,112,0.0007228231406665462
HIMACHAL PRADESH,HAMIRPUR,11154,0.071985440276738
HIMACHAL PRADESH,KANGRA,27141,0.17516198982884582
HIMACHAL PRADESH,KINNAUR,2248,0.014508093037664248
HIMACHAL PRADESH,KULLU,10154,0.06553166223507241
HIMACHAL PRADESH,LAHAUL-SPITI,822,0.005305005550249116
HIMACHAL PRADESH,MANDI,22050,0.1423058058187263
HIMACHAL PRADESH,SHIMLA,23949,0.15456153031984923
HIMACHAL PRADESH,SIRMAUR,9415,0.06076232026228154
HIMACHAL PRADESH,SOLAN,14358,0.09266334512223455
HIMACHAL PRADESH,TOTAL,154948,1.0
HIMACHAL PRADESH,UNA,10615,0.06850685391228024
JAMMU & KASHMIR,ANANTNAG,16464,0.06352954795392719
JAMMU & KASHMIR,AWANTIPORA,4686,0.018081842912542688
JAMMU & KASHMIR,BANDIPORA,2606,0.010055758137022246
